y	x1	x2	x3
1.3	3.4	-2.7	13
1	1.4	-6	10.5
0.4	0.1	-3.6	15.9
4.9	1.8	13.6	3.2
9.8	5.6	27.3	5.4
-2.1	2.2	2.6	5.2
2	2.3	-9.5	8.7
5.8	3	4.4	1.4
5.2	2.9	9.2	3
-1.1	-2.3	-6.3	14.9
0.2	0.3	12	20.3
1.1	1.4	-7.2	19.8
-12	4.8	-5.5	8.6
4.1	2.3	8.7	9.5
-5	1.2	-0.2	1.1
2.1	2.7	5.6	11.2
7.7	3	2	8.9
9.3	3.3	6.2	7.5
-1.7	2	-1.7	18.2
5.8	4.7	-0.2	2.1
3.9	-3.9	-2.5	3.4
5.6	3.9	6.4	13.9
6.9	1.3	11.6	6.4
-4.6	0.8	-9.8	21.5
-2.6	1.7	-6.6	6.7
1.1	3.9	3.8	7.7
-1.6	-0.4	-2.5	11.3
2.9	-0.6	5.4	7.5
0.5	1.9	1.6	19
2.2	-3.5	4.7	1.9
8	3.1	19.9	37.3
6.5	3.3	-0.6	8.9
0.2	0.1	8.4	29.5
7.8	5.3	10.4	8.1
2.5	2.3	4.9	22.6
-0.2	3.1	7.9	20.2
6.1	10.3	-19	-1.3
4.6	3	-3.5	8.6
-3.4	7.9	-7.9	45.4
-0.6	2.5	2	11.5
8.2	1.9	3.8	7.8
4.1	0.9	1.3	5.6
12.6	7.9	11.7	3.8
4.1	2.8	-0.9	9.9
0.6	2.8	-2.1	23.3
2	0.5	-3.1	33.5
0	0.4	6.9	32.6
-2.6	-1.3	3.4	7.7
