period  consumption  price  income temperature
 1 216 297 343200 10.0
 2 209 310 347600 18.3
 3 220 305 356400 22.2
 4 238 308 352000 25.0
 5 227 299 334400 25.6
 6 193 288 343200 23.3
 7 183 302 360800 21.1
 8 161 294 347600 13.3
 9 151 292 334400  5.0
10 143 305 347600  0.6
11 160 310 360800  2.8
12 167 297 374000  1.7
13 184 299 378400  5.0
14 178 316 365200  9.4
15 213 305 369600 17.8
16 213 316 360800 22.2
17 263 308 352000 27.2
18 248 305 343200 27.2
19 216 305 369600 24.4
20 192 305 378400 20.6
21 179 321 374000 11.7
22 172 316 382800  9.4
23 159 305 413600  5.0
24 183 314 404800  2.2
25 173 310 418000  2.8
26 201 292 422400  5.6
27 211 292 413600 10.0
28 233 292 422400 16.1
29 245 295 400400 22.8
30 307 286 396000 26.7
