ID	mid	final	REPORT1	REPORT2	REPORT3	REPORT4	RepSum	Total
ab37	79	73	10	10	9	10	39	71.35
H327	83	93	8	10	9	10	37	81.45
y006	87	92	9	10	9	10	38	82.55
ph27	83	85	10	9	10	10	39	78.15
K612	90	100	10	10	10	10	40	87.5
2HDJ	82	83	10	10	9	10	39	76.9
1906	87	67	10	10	0	10	30	70.1
2366	92	94	10	10	10	10	40	85.5
jh12	87	91	10	10	0	10	30	80.9
AB83	92	100	10	10	10	10	40	88.2
7007	93	99	10	10	10	10	40	88.1
1933	93	100	10	10	10	10	40	88.55
PLZ4	78	53	10	10	10	10	40	62.15
AB55	91	100	10	10	9	10	39	87.7
LK17	97	100	10	10	9	10	39	89.8
966M	87	80	9	10	9	10	38	77.15
ef85	82	100	10	10	9	10	39	84.55
MY99	80	84	10	10	9	10	39	76.65
SH77	80	76	10	9	9	10	38	72.9
CS58	89	74	10	10	10	10	40	75.45
sg13	92	84	10	10	10	10	40	81
K642	72	81	9	10	9	10	38	72.35
OV85	81	100	10	10	10	10	40	84.35
3690	76	77	10	10	10	10	40	72.25
ss29	97	86	10	10	10	10	40	83.65
jj99	95	99	10	10	10	10	40	88.8
lj15	87	97	10	10	9	10	39	84.95
ab12	86	94	10	10	10	10	40	83.4
SJ12	89	97	10	10	10	10	40	85.8
sim7	92	90	10	9	10	10	39	83.55
SP29	80	94	10	10	10	10	40	81.3
NS36	80	77	10	10	9	10	39	73.5
