id  x1  x2 x3 x4 y
1 9 12 9 20 96
2 10 15 12 32 107.8
3 10 17 13 31 108.3
4 16 17 11 34 112.5
5 11 12 11 32 105.3
6 10 12 7 15 95.3
7 16 19 12 39 121
8 8 10 13 17 90.8
9 7 15 11 27 103.3
10 18 16 8 18 99.5
11 9 17 13 32 109.3
12 7 16 11 24 101.8
13 14 12 12 36 109.5
14 7 10 10 15 91.8
15 10 14 11 21 97.5
16 14 18 11 39 120.5
17 8 10 11 34 105.5
18 11 14 11 35 110.8
19 5 11 11 42 115
20 10 15 7 23 102
21 9 17 11 44 121
22 10 12 11 19 94.5
23 13 12 4 28 99.8
24 13 15 6 23 102.5
25 18 13 12 37 112
26 12 16 11 39 118.5
27 8 12 9 26 100.3
28 9 12 9 25 99.5
29 12 17 12 32 109.8
30 13 10 8 34 107
31 5 14 13 30 104.3
32 9 9 7 16 92.5
33 14 16 12 39 118
34 18 15 10 43 119.5
35 18 17 10 42 121.5
36 15 19 12 41 122.3
37 17 20 10 32 113.8
38 10 15 11 14 96
39 13 14 12 29 103.8
40 18 20 15 51 122
41 10 18 8 31 111.8
42 7 9 5 16 93.5
43 17 17 11 27 105.3
44 12 15 12 37 114
45 10 16 11 49 120
46 13 11 8 10 92.8
47 8 13 14 47 115.5
48 14 20 12 37 119
49 1 5 9 15 87.3
50 8 8 8 9 89.8
