"carat","cut","color","clarity","depth","table","price","x","y","z","s.price"
1.05,"Fair","J","SI2",65.8,59,2789,6.41,6.27,4.18,52.8109837060436
1,"Fair","J","VS2",65.7,59,2811,6.14,6.07,4.01,53.0188645672463
0.99,"Fair","J","SI1",55,61,2812,6.72,6.67,3.68,53.0282943342514
0.9,"Fair","J","VS2",65,56,2815,6.08,6.04,3.94,53.0565735795292
0.91,"Fair","J","VS2",64.4,62,2854,6.06,6.03,3.89,53.4228415567723
0.91,"Fair","J","VS2",65.4,60,2854,6.04,6,3.94,53.4228415567723
1,"Fair","J","VS1",65.5,55,2875,6.3,6.25,4.11,53.619026473818
0.99,"Fair","J","SI1",58,67,2949,6.57,6.5,3.79,54.3046959295419
0.9,"Fair","J","VS1",65.4,60,2964,6.02,5.93,3.91,54.4426303552648
0.9,"Fair","J","VS1",64.6,58,2964,6.12,6.06,3.93,54.4426303552648
1.06,"Fair","J","SI2",61,66,2992,6.54,6.35,3.93,54.6991773247094
1.01,"Fair","J","VVS2",66,56,2998,6.29,6.22,4.13,54.7539952880153
1.2,"Fair","J","I1",64.9,59,3011,6.61,6.54,4.27,54.8725796732758
1.02,"Fair","J","SI1",66.8,55,3027,6.25,6.18,4.15,55.0181788139157
1,"Fair","J","VS1",66.6,57,3080,6.07,6.03,4.03,55.4977477020464
1.02,"Fair","J","SI2",65,59,3119,6.34,6.24,4.08,55.8480080217728
1.03,"Fair","J","SI2",64.6,62,3149,6.3,6.21,4.06,56.1159513863928
0.95,"Fair","J","SI1",58,66,3154,6.5,6.46,3.76,56.1604843283959
1,"Fair","J","SI1",65.3,57,3175,6.33,6.12,4.08,56.3471383479232
1.01,"Fair","J","VS2",65.8,55,3190,6.29,6.24,4.12,56.4800849857718
1,"Fair","J","SI2",56.3,64,3199,6.58,6.54,3.69,56.5597029695171
1.03,"Fair","J","SI2",56.2,62,3246,6.73,6.69,3.77,56.9736781329765
1.08,"Fair","J","SI2",64.9,60,3302,6.46,6.32,4.15,57.4630315942346
1.14,"Fair","J","SI2",64.4,55,3403,6.56,6.54,4.22,58.335238064141
1,"Fair","J","VS2",65.3,61,3422,6.33,6.13,4.03,58.4978632088387
1,"Fair","J","SI1",64.9,58,3427,6.29,6.23,4.06,58.5405842130056
1.09,"Fair","J","VS2",64.6,58,3443,6.48,6.41,4.16,58.6770824087224
1,"Fair","J","SI1",64.7,52,3780,6.35,6.3,4.09,61.4817045957576
1.01,"Fair","J","VS2",59.6,62,3886,6.54,6.49,3.88,62.3377895020348
1.08,"Fair","J","VS2",65.1,54,3980,6.47,6.44,4.2,63.08724118235
1.21,"Fair","J","SI2",64.6,59,3984,6.74,6.64,4.32,63.118935352238
1.11,"Fair","J","SI2",64.8,55.1,4056,6.44,6.55,4.21,63.6867333123626
1.13,"Fair","J","SI1",64.9,55,4123,6.49,6.56,4.24,64.2105910267146
1.21,"Fair","J","SI1",65,59,4147,6.64,6.57,4.29,64.3972049082877
1.21,"Fair","J","SI1",65.3,60,4147,6.6,6.51,4.28,64.3972049082877
1.36,"Fair","J","SI2",67.8,55,4158,6.73,6.66,4.54,64.482555780614
1.5,"Fair","J","I1",68.8,57,4284,6.94,6.87,4.75,65.4522726878143
1.45,"Fair","J","SI2",58.6,68,4570,7.45,7.33,4.34,67.6017751246223
0.3,"Fair","J","VS2",64.8,58,416,4.24,4.16,2.72,20.3960780543711
1.2,"Fair","J","SI1",65.2,58,4838,6.67,6.58,4.32,69.5557330491168
1.83,"Fair","J","I1",70,58,5083,7.34,7.28,5.12,71.2951611261241
1.72,"Fair","J","I1",68.5,59,5240,7.31,7.24,4.98,72.3878442834154
1.5,"Fair","J","SI2",65.5,60,5268,7.07,7.03,4.62,72.5809892464962
