"job","annual","positive"
"119구조대원",3316,0.78
"CRM전문가",3710,0.67
"ERP전문가",3739,0.59
"GIS전문가",3534,0.58
"IT강사",1795,0.14
"IT컨설턴트",4303,0.69
"KMS전문가",2935,0.59
"가구디자이너",2857,0.41
"가구제조 및 수리원(가구목공)",2072,0.37
"가구조립 및 검사원",2445,0.08
"가상현실전문가",3458,0.67
"가수",2295,0.59
"가전제품수리원",2294,0.18
"가정의학과의사",4735,0.3
"가죽제품제조원",2596,0.04
"가축사육자(수렵종사자포함)",2638,0.18
"간병인",1135,0.8
"간판제작원",3514,0.21
"간호사",2252,0.52
"간호조무사",2684,0.19
"감정평가사",7740,0.43
"개그맨 및 코미디언",1916,0.73
"건물도장원",2039,0
"건물시설관리원",2283,0.17
"건물전기설비조작원",2741,0.23
"건설 및 광업관련 관리자",5211,0.31
"건설 및 광업기계정비원",2675,0.3
"건설견적원(적산원)",3357,0.03
"건설기계공학기술자",3956,0.39
"건설기계운전원",3252,0.11
"건설자재시험원(건설공사품질관리원)",4079,0.38
"건축감리기술자",3567,0.13
"건축공학기술자",3557,0.19
"건축구조기술자",3033,0.11
"건축설계기술자",3938,0.1
"건축시공기술자",2979,0.44
"건축자재영업원",3010,0.48
"건축전기설비기술자",3584,0.02
"검사",4378,0.88
"검찰수사관",3097,0.41
"게임기획자",2386,0.63
"게임디자이너",2350,0.59
"게임시나리오작가",2229,0.35
"게임프로그래머",2823,0.46
"결혼상담원",2308,0.75
"경기기록원",2411,0.39
"경기심판",2503,0.41
"경량철골공",1932,0
"경리",1954,0.18
"경비원",1054,0.38
"경영컨설턴트",5341,0.79
"경제학연구원",6119,0.55
"경찰관",3256,0.66
"경찰관리자",4379,0.71
"경호원",3018,0.88
"계기검침원",2413,0.26
"계산원 및 매표원",1197,0.28
"고객상담원",1544,0.74
"고무 및 플라스틱화학공학기술자",3331,0.3
"고무제품제조관련 조작원",3715,0
"곡식작물재배자",1969,0.09
"곡식제품제조원",1503,0.11
"공구제조원(차공구포함)",2425,0.32
"공군부사관",2481,0.22
"공군장교",2690,0.18
"공연제작관리자",3603,0.63
"공예원",3967,0.32
"공작기계설치 및 정비원",3119,0.22
"공작기계조작원",2313,0.33
"공학계열교수",6596,0.52
"과수작물재배자",2790,0
"과실채소 및 설탕가공관련 조작원",2107,0.15
"과학교사",3852,0.06
"관세사",4600,0.19
"광고 및 홍보전문가",4100,0.62
"광고디자이너",3669,0.31
"광고제작감독",4004,0.29
"광원• 채석원 및 석재가공원",3696,0.11
"교구 및 교재개발원",2829,0.27
"교도관",3587,1
"교도관리자",3417,0.63
"교무(원불교)",1084,0.64
"교육계열교수",6154,0.22
"교육과학용 응용소프트웨어엔지니어",2467,0.7
"교육학연구원",4943,0.24
"교육행정사무원",3350,0.19
"교통공학기술자",3369,0.33
"구두미화원",1153,0.13
"구매 및 자재사무원",3407,0.2
"구매인(바이어)",2425,0.3
"국악인",3163,0.5
"국어교사",3936,0.11
"국회의원",8500,0.33
"귀금속 및 보석세공원",2573,0.17
"금속가공관련 검사원",3178,0.11
"금속가공관련 제어장치조작원",4243,0.06
"금속가공관련 조작원",2328,0.1
"금속공학기술자(엔지니어)",4327,0.26
"금융관련관리자",7370,0.29
"금융대출사무원",3564,0.22
"금융자산운용가",5111,0.87
"금융출납창구사무원",3431,0.15
"금형원",2628,0.19
"기계공학기술자",2898,0.46
"기계조립 및 검사원",3124,0.37
"기록물관리사",3826,0.77
"기술 및 기능계 학원강사",2579,0.33
"기술영업원",3186,0.43
"기술지원전문가",3106,0.52
"기업고위임원",12203,0.63
"기자",3323,0.21
"기획사무원",2486,0.5
"내과의사",7438,0.7
"내선전공",2867,0.11
"냉난방관련 설비조작원",2445,0.11
"냉동냉장공조기설치 및 정비원",2690,0.29
"네일아티스트",1693,0.91
"네트워크관리자",2858,0.53
"네트워크엔지니어",2876,0.81
"노무사",3424,0.83
"노점 및 이동판매원",1326,0.44
"놀이시설종사원",1325,0.23
"놀이치료사",2417,0.92
"농림어업관련 기술자",3363,0.1
"농림학연구원",3854,0.25
"단열공(보온공)",2050,0.18
"단조원",2175,0.19
"담배제조관련 조작원",4771,0.03
"대기환경공학기술자",3789,0.52
"대중무용수(백댄서)",1158,0.48
"대학교 총장 및 학장",7486,0.23
"대형트럭운전원",2813,0.03
"데이터베이스관리자",3038,0.6
"도금 및 금속분무관련 조작원",4226,0.2
"도로운송사무원",2052,0.07
"도료 및 농약품화학공학기술자",3173,0.11
"도배공",1972,0.29
"도서관장",4238,0.59
"도선사",13057,0.6
"도시계획가",2933,0.54
"동물사육사",2548,0.16
"디스크자키(DJ)",1703,0.31
"디자인학원강사",2033,0.18
"디지털영상처리전문가",3237,0.7
"떡제조원",2010,0.23
"레스토랑지배인",2258,0.48
"레크레이션진행자",3237,0.85
"리포터",3194,0.61
"마술사(곡예사포함)",1279,0.7
"마취병리과의사",5629,0.33
"마케팅사무원",3557,0.68
"마케팅전문가",3108,0.86
"만화가",2367,0.63
"매장정리원",1354,0.29
"메이크업아티스트",1978,0.67
"메카트로닉스공학기술자",4620,0.37
"모델",3176,0.72
"목공",2526,0
"목사",2032,0.59
"목욕관리사",1565,0.48
"목재가공관련 조작원",2785,0.09
"목재펄프종이가공관련 등급원 및 검사원",2861,0.07
"무대디자이너",4224,0.52
"무역사무원",3058,0.39
"무용가",1856,0.27
"무인경비원",2884,0.81
"문리학원강사",2156,0.55
"문화재감정평가사",3736,0.73
"문화재보존가",3137,0.67
"물류관리전문가",3161,0.54
"물리치료사",2758,0.58
"물리학연구원",4293,0.67
"미술관장",4311,0.64
"미술교사",3510,0.07
"미술치료사",2040,0.88
"미용사",1818,0.52
"미장공",2085,0
"민속종교종사자(점술가,무당 등)",1701,0.3
"바닥재시공원(마루설치원,타일부착원)",2489,0.19
"바텐더(조주사)",1758,0.34
"박물관장",3824,0.76
"반도체설계기술자",3704,0.67
"발전설비공학기술자",4852,0.4
"발전장치조작원",4466,0.45
"방문판매원",2802,0.5
"방사선과의사",5279,0.33
"방사선사",3261,0.61
"방송기자",4900,0.44
"방송대본작가",3829,0.53
"방송연출가(프로듀서)",4521,0.6
"방송장비설치 및 수리원",4159,0.22
"방송장비운영원",5640,0.07
"방송제작관리자",5179,0.59
"방수공",2003,0
"배관공",2317,0.04
"버스운전사",2409,0.17
"번역가",3131,0.5
"법률행정사무원",2489,0.33
"법무사",4368,0.21
"법학연구원",4943,0.59
"변리사",4485,0.79
"변호사",10100,0.59
"보건교사",3631,0.31
"보석감정사",2374,0.31
"보육교사 및 보육사",1497,0.38
"보일러설치 및 수리원",2720,0.15
"보험계리인",4827,0.76
"보험대리인 및 중개인",3500,0.21
"보험모집인",5917,0.48
"보험사무원",3418,0.43
"부동산중개인",2615,0.56
"부동산투자신탁운용가",4190,0.63
"분양 및 임대사무원",4300,0.44
"분장사",3785,0.51
"비금속광물 가공관련 제어장치조작원",3450,0.07
"비금속광물가공관련 조작원",2433,0.13
"비뇨기과의사",6065,0.3
"비누 및 화장품화학공학기술자",3560,0.39
"비디오자키(VJ)",1389,0.33
"비서",2793,0.35
"비파괴검사원",2219,0.52
"비행기승무원",4056,0.7
"사무기기설치 및 수리원",2543,0.19
"사무보조원",1519,0.28
"사무용 응용소프트웨어엔지니어",3205,0.69
"사무용기계공학기술자",3231,0.24
"사서",2368,0.73
"사진기자",3835,0.14
"사진인화 및 현상관련 조작원",2181,0.07
"사진작가",3833,0.54
"사회계열교수",6269,0.4
"사회과학연구원",4110,0.52
"사회교사",3916,0.03
"사회단체활동가",1976,0.79
"사회복지사",2211,0.73
"사회복지시설종사원",1950,0.8
"사회학연구원",4400,0.28
"산부인과의사",6467,0.16
"산업공학기술자(엔지니어)",4400,0.3
"산업안전관리원",2867,0.33
"산업용 기계장비기술영업원",3181,0.31
"상담전문가(심리상담사)",4259,0.92
"상점판매원",1982,0.26
"상품대여원",3568,0.52
"상품중개인(경매인포함)",3262,0.03
"상하수처리관련 조작원",2630,0.3
"생명정보학자",3930,0.78
"생물과학관련 시험원",2722,0.56
"생물학연구원",4997,0.56
"생산관리사무원",3113,0.33
"생산관리원",2833,0.26
"샷시원",2611,0.04
"서예가",1971,0.14
"석공",2361,0.1
"석유가스 및 화학물제조관련 제어장치조작원",3110,0.19
"석유화학공학기술자",3312,0.3
"석제품제조관련 조작원",2970,0.13
"선물중개인",4586,0.33
"선박갑판원",2766,0.07
"선박기관사",2427,0
"선박기관원",2978,0.07
"선박승무원",2319,0.06
"선박정비원",3234,0
"선박조립 및 검사원",2683,0.17
"선장 및 항해사",3077,0.06
"설문조사원",1036,0.53
"섬유공학기술자(엔지니어)",3183,0.18
"섬유관련 등급원 및 검사원",1854,0.04
"섬유제조원(방적방사기조작원)",2172,0.03
"성악가",3426,0.21
